"Variable","Predictions","Observations","Study"
"CO2",0,0,"Blagodatskaya et al. (2014)"
"CO2",1.29877937819012,0.17541160608294,"Blagodatskaya et al. (2014)"
"CO2",2.47444932046075,0.539241652067532,"Blagodatskaya et al. (2014)"
"CO2",3.80306709328559,0.903432998991554,"Blagodatskaya et al. (2014)"
"CO2",5.54260602222413,1.45134587360493,"Blagodatskaya et al. (2014)"
"CO2",7.28400678582384,1.63127374143051,"Blagodatskaya et al. (2014)"
"CO2",9.44163285640657,2.17918661604387,"Blagodatskaya et al. (2014)"
"CO2",11.6121235536105,2.72746079159664,"Blagodatskaya et al. (2014)"
"CO2",14.0331215952243,3.27555431667971,"Blagodatskaya et al. (2014)"
"CO2",16.6109446998066,3.63938436266432,"Blagodatskaya et al. (2014)"
"CO2",19.4443311113049,4.37156071637616,"Blagodatskaya et al. (2014)"
"CO2",22.0902407330338,5.28854250059557,"Blagodatskaya et al. (2014)"
"CO2",24.8510887524042,6.20552428481498,"Blagodatskaya et al. (2014)"
"CO2",27.966574770218,7.30640824719342,"Blagodatskaya et al. (2014)"
"CO2",31.2068057289079,8.40729220957189,"Blagodatskaya et al. (2014)"
"CO2",34.4349100935798,10.2454107388139,"Blagodatskaya et al. (2014)"
"CO2",37.905781004751,11.8990851384877,"Blagodatskaya et al. (2014)"
"CO2",41.4865295903242,14.8426038918508,"Blagodatskaya et al. (2014)"
"CO2",44.8855709477566,18.5235378625472,"Blagodatskaya et al. (2014)"
"CO2",48.8136311785925,22.5724568400313,"Blagodatskaya et al. (2014)"
"CO2",52.5419678857274,28.4643719094395,"Blagodatskaya et al. (2014)"
"CO2",56.3544925394665,35.27760437434,"Blagodatskaya et al. (2014)"
"CO2",60.2447023049821,44.3019985884221,"Blagodatskaya et al. (2014)"
"CO2",64.5303064504454,53.8788219388601,"Blagodatskaya et al. (2014)"
"CO2",68.5683230911838,64.1930605066314,"Blagodatskaya et al. (2014)"
"CO2",72.6658046195018,76.9027243026826,"Blagodatskaya et al. (2014)"
"CO2",76.9872025678735,89.2436804900673,"Blagodatskaya et al. (2014)"
"CO2",81.3669416390287,96.6095227417935,"Blagodatskaya et al. (2014)"
"CO2",85.6242209416664,99.7374856247248,"Blagodatskaya et al. (2014)"
"CO2",90.0860339249279,102.312477419891,"Blagodatskaya et al. (2014)"
"CO2",94.2267895714852,104.150776599603,"Blagodatskaya et al. (2014)"
"CO2",99.0721365521685,106.172616656534,"Blagodatskaya et al. (2014)"
"CO2",103.053944279264,108.011096486715,"Blagodatskaya et al. (2014)"
"CO2",107.718856629054,109.848853715018,"Blagodatskaya et al. (2014)"
"CO2",112.188714942317,111.502528114692,"Blagodatskaya et al. (2014)"
"CO2",116.28424443004,112.788036857108,"Blagodatskaya et al. (2014)"
"CO2",120.675330823477,114.257447777684,"Blagodatskaya et al. (2014)"
"CO2",125.171374499887,115.726678047789,"Blagodatskaya et al. (2014)"
"CO2",129.263743215839,117.012006139736,"Blagodatskaya et al. (2014)"
"CO2",0,0,"Blagodatskaya et al. (2014)"
"CO2",1.11288781265446,0.579549493937988,"Blagodatskaya et al. (2014)"
"CO2",2.16749550248515,0.770631414101092,"Blagodatskaya et al. (2014)"
"CO2",3.47573879401633,1.15791703785436,"Blagodatskaya et al. (2014)"
"CO2",4.94321031745138,1.15299224609757,"Blagodatskaya et al. (2014)"
"CO2",6.59447841157531,1.93288226870144,"Blagodatskaya et al. (2014)"
"CO2",8.26178470534924,1.9283514602852,"Blagodatskaya et al. (2014)"
"CO2",10.3044880078973,2.51184078762864,"Blagodatskaya et al. (2014)"
"CO2",12.4162941746863,2.70311969946199,"Blagodatskaya et al. (2014)"
"CO2",14.6644412263709,3.28680601847572,"Blagodatskaya et al. (2014)"
"CO2",17.139868103636,3.87029534581915,"Blagodatskaya et al. (2014)"
"CO2",19.4414030330428,4.65057935176354,"Blagodatskaya et al. (2014)"
"CO2",22.1645988486608,5.23406867910696,"Blagodatskaya et al. (2014)"
"CO2",24.6774642946117,6.01435268505137,"Blagodatskaya et al. (2014)"
"CO2",27.7478057026951,7.38245983508516,"Blagodatskaya et al. (2014)"
"CO2",30.5830205630686,8.35875055294946,"Blagodatskaya et al. (2014)"
"CO2",33.639413724456,10.1196590935041,"Blagodatskaya et al. (2014)"
"CO2",36.9264561204058,12.0765743459786,"Blagodatskaya et al. (2014)"
"CO2",40.0559224761897,14.8186983961544,"Blagodatskaya et al. (2014)"
"CO2",43.4101149257221,17.75682915825,"Blagodatskaya et al. (2014)"
"CO2",46.7178565885133,21.8723791335569,"Blagodatskaya et al. (2014)"
"CO2",50.1085837167849,26.9689476268145,"Blagodatskaya et al. (2014)"
"CO2",53.8719096505981,33.830955469043,"Blagodatskaya et al. (2014)"
"CO2",57.5749135939461,41.6741788208927,"Blagodatskaya et al. (2014)"
"CO2",61.5093047354952,51.4792422169736,"Blagodatskaya et al. (2014)"
"CO2",65.2120265056656,62.2657181143459,"Blagodatskaya et al. (2014)"
"CO2",68.9783399711387,74.2294162332591,"Blagodatskaya et al. (2014)"
"CO2",72.9639805534356,85.996713656912,"Blagodatskaya et al. (2014)"
"CO2",77.1702341297674,95.8017770529929,"Blagodatskaya et al. (2014)"
"CO2",81.2667833714181,103.056389294072,"Blagodatskaya et al. (2014)"
"CO2",85.2408109932425,108.15295778733,"Blagodatskaya et al. (2014)"
"CO2",89.5836945599034,111.875706372116,"Blagodatskaya et al. (2014)"
"CO2",93.6194462072225,114.617830422291,"Blagodatskaya et al. (2014)"
"CO2",97.8421619340108,116.771146370026,"Blagodatskaya et al. (2014)"
"CO2",102.244136601316,119.120469029681,"Blagodatskaya et al. (2014)"
