,Simulation,Observation,Variable,Study
0,0.39894297516623667,0.358,kec,Wardle and Parkinson (1990)
1,0.33253831756490626,0.379,kec,Wardle and Parkinson (1990)
2,0.33253695408409545,0.335,kec,Wardle and Parkinson (1990)
3,0.33253695408409545,0.296,kec,Wardle and Parkinson (1990)
4,0.39894297516623667,0.379,kec,Wardle and Parkinson (1990)
5,0.33253831756490626,0.396,kec,Wardle and Parkinson (1990)
6,0.33253695408409545,0.352,kec,Wardle and Parkinson (1990)
7,0.33253695408409545,0.319,kec,Wardle and Parkinson (1990)
8,0.39894297516623667,0.4,kec,Wardle and Parkinson (1990)
9,0.33253831756490626,0.411,kec,Wardle and Parkinson (1990)
10,0.33253695408409545,0.378,kec,Wardle and Parkinson (1990)
11,0.33253695408409545,0.35,kec,Wardle and Parkinson (1990)
12,0.39894297516623667,0.39,kec,Wardle and Parkinson (1990)
13,0.33253831756490626,0.389,kec,Wardle and Parkinson (1990)
14,0.33253695408409545,0.371,kec,Wardle and Parkinson (1990)
15,0.33253695408409545,0.328,kec,Wardle and Parkinson (1990)
16,0.39894297516623667,0.403,kec,Wardle and Parkinson (1990)
17,0.33253831756490626,0.382,kec,Wardle and Parkinson (1990)
18,0.33253695408409545,0.358,kec,Wardle and Parkinson (1990)
19,0.33253695408409545,0.316,kec,Wardle and Parkinson (1990)
20,0.39894297516623667,0.402,kec,Wardle and Parkinson (1990)
21,0.33253831756490626,0.391,kec,Wardle and Parkinson (1990)
22,0.33253695408409545,0.358,kec,Wardle and Parkinson (1990)
23,0.33253695408409545,0.347,kec,Wardle and Parkinson (1990)
24,0.39894297516623667,0.404,kec,Wardle and Parkinson (1990)
25,0.33253831756490626,0.415,kec,Wardle and Parkinson (1990)
26,0.33253695408409545,0.417,kec,Wardle and Parkinson (1990)
27,0.33253695408409545,0.357,kec,Wardle and Parkinson (1990)
28,0.39894297516623667,0.422,kec,Wardle and Parkinson (1990)
29,0.33253831756490626,0.435,kec,Wardle and Parkinson (1990)
30,0.33253695408409545,0.391,kec,Wardle and Parkinson (1990)
31,0.33253695408409545,0.389,kec,Wardle and Parkinson (1990)
32,0.39894297516623667,0.421,kec,Wardle and Parkinson (1990)
33,0.33253831756490626,0.421,kec,Wardle and Parkinson (1990)
34,0.33253695408409545,0.396,kec,Wardle and Parkinson (1990)
35,0.33253695408409545,0.37,kec,Wardle and Parkinson (1990)
36,0.39894297516623667,0.435,kec,Wardle and Parkinson (1990)
37,0.33253831756490626,0.44,kec,Wardle and Parkinson (1990)
