,Simulation,Observation,Variable,Study
0,0.3894272491860789,0.358,kec,Wardle and Parkinson (1990)
1,0.3852170390683142,0.379,kec,Wardle and Parkinson (1990)
2,0.3762056259967639,0.335,kec,Wardle and Parkinson (1990)
3,0.35983260703338316,0.296,kec,Wardle and Parkinson (1990)
4,0.3894272491860789,0.379,kec,Wardle and Parkinson (1990)
5,0.3852170390683142,0.396,kec,Wardle and Parkinson (1990)
6,0.3762056259967639,0.352,kec,Wardle and Parkinson (1990)
7,0.35983260703338316,0.319,kec,Wardle and Parkinson (1990)
8,0.3894272491860789,0.4,kec,Wardle and Parkinson (1990)
9,0.3852170390683142,0.411,kec,Wardle and Parkinson (1990)
10,0.3762056259967639,0.378,kec,Wardle and Parkinson (1990)
11,0.35983260703338316,0.35,kec,Wardle and Parkinson (1990)
12,0.3894272491860789,0.39,kec,Wardle and Parkinson (1990)
13,0.3852170390683142,0.389,kec,Wardle and Parkinson (1990)
14,0.3762056259967639,0.371,kec,Wardle and Parkinson (1990)
15,0.35983260703338316,0.328,kec,Wardle and Parkinson (1990)
16,0.3894272491860789,0.403,kec,Wardle and Parkinson (1990)
17,0.3852170390683142,0.382,kec,Wardle and Parkinson (1990)
18,0.3762056259967639,0.358,kec,Wardle and Parkinson (1990)
19,0.35983260703338316,0.316,kec,Wardle and Parkinson (1990)
20,0.3894272491860789,0.402,kec,Wardle and Parkinson (1990)
21,0.3852170390683142,0.391,kec,Wardle and Parkinson (1990)
22,0.3762056259967639,0.358,kec,Wardle and Parkinson (1990)
23,0.35983260703338316,0.347,kec,Wardle and Parkinson (1990)
24,0.3894272491860789,0.404,kec,Wardle and Parkinson (1990)
25,0.3852170390683142,0.415,kec,Wardle and Parkinson (1990)
26,0.3762056259967639,0.417,kec,Wardle and Parkinson (1990)
27,0.35983260703338316,0.357,kec,Wardle and Parkinson (1990)
28,0.3894272491860789,0.422,kec,Wardle and Parkinson (1990)
29,0.3852170390683142,0.435,kec,Wardle and Parkinson (1990)
30,0.3762056259967639,0.391,kec,Wardle and Parkinson (1990)
31,0.35983260703338316,0.389,kec,Wardle and Parkinson (1990)
32,0.3894272491860789,0.421,kec,Wardle and Parkinson (1990)
33,0.3852170390683142,0.421,kec,Wardle and Parkinson (1990)
34,0.3762056259967639,0.396,kec,Wardle and Parkinson (1990)
35,0.35983260703338316,0.37,kec,Wardle and Parkinson (1990)
36,0.3894272491860789,0.435,kec,Wardle and Parkinson (1990)
37,0.3852170390683142,0.44,kec,Wardle and Parkinson (1990)
38,0.3762056259967639,0.4,kec,Wardle and Parkinson (1990)
39,0.35983260703338316,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,49.7467742964646,,S,Marstorp and Witter (1999)
2,49.49979669066937,39.8509263670649,S,Marstorp and Witter (1999)
3,49.25269694006387,,S,Marstorp and Witter (1999)
4,49.04080409825822,30.723060551145,S,Marstorp and Witter (1999)
5,48.82882903614416,,S,Marstorp and Witter (1999)
6,48.68746838188666,,S,Marstorp and Witter (1999)
7,48.510719962112766,30.500429677586,S,Marstorp and Witter (1999)
8,48.4046463105643,,S,Marstorp and Witter (1999)
9,48.33392056763507,,S,Marstorp and Witter (1999)
10,48.227817321180616,,S,Marstorp and Witter (1999)
11,48.12169691445797,,S,Marstorp and Witter (1999)
12,48.050940665004134,19.5915168731939,S,Marstorp and Witter (1999)
13,47.94479265715181,,S,Marstorp and Witter (1999)
14,47.874018424719516,,S,Marstorp and Witter (1999)
15,47.73244921890586,,S,Marstorp and Witter (1999)
16,47.661654514930156,,S,Marstorp and Witter (1999)
17,47.55545021251625,0.890523494236081,S,Marstorp and Witter (1999)
18,47.48463937743849,,S,Marstorp and Witter (1999)
19,47.37841151424241,,S,Marstorp and Witter (1999)
20,47.236753405764574,,S,Marstorp and Witter (1999)
21,47.165915677284616,,S,Marstorp and Witter (1999)
22,47.05964862746108,0.890523494236081,S,Marstorp and Witter (1999)
23,46.8825101392405,,S,Marstorp and Witter (1999)
24,46.70534009901279,,S,Marstorp and Witter (1999)
25,46.49269745632132,,S,Marstorp and Witter (1999)
26,46.24456592660462,,S,Marstorp and Witter (1999)
27,46.06730033870624,,S,Marstorp and Witter (1999)
28,45.74816963887382,,S,Marstorp and Witter (1999)
29,45.21616578032876,0.890523494236081,S,Marstorp and Witter (1999)
30,44.40026047137125,,S,Marstorp and Witter (1999)
31,42.80412443325103,,S,Marstorp and Witter (1999)
32,41.5637803359043,,S,Marstorp and Witter (1999)
33,40.36066243071725,,S,Marstorp and Witter (1999)
34,39.160104300009834,,S,Marstorp and Witter (1999)
35,37.962916024993895,,S,Marstorp and Witter (1999)
36,35.58198129615293,,S,Marstorp and Witter (1999)
37,34.43461635426947,,S,Marstorp and Witter (1999)
38,33.25914943933639,,S,Marstorp and Witter (1999)
39,32.057106737517046,,S,Marstorp and Witter (1999)
40,30.89809930927416,,S,Marstorp and Witter (1999)
41,0.0,0.0,CO2,Marstorp and Witter (1999)
42,0.17932491856221147,0.008871352656646,CO2,Marstorp and Witter (1999)
43,0.3884957095470351,0.032600542098624,CO2,Marstorp and Witter (1999)
44,0.5976158065107916,0.070857514413369,CO2,Marstorp and Witter (1999)
45,0.7768165586747174,0.134096735238337,CO2,Marstorp and Witter (1999)
46,0.955971583329289,0.223020961602405,CO2,Marstorp and Witter (1999)
47,1.0753809101942977,0.335527014861182,CO2,Marstorp and Witter (1999)
48,1.224609722830417,0.499120607792758,CO2,Marstorp and Witter (1999)
49,1.3141286051582912,0.697518338062734,CO2,Marstorp and Witter (1999)
50,1.373799882021312,0.928798604420278,CO2,Marstorp and Witter (1999)
51,1.463294458026289,1.20482520589228,CO2,Marstorp and Witter (1999)
52,1.5527737788701066,1.54271065806504,CO2,Marstorp and Witter (1999)
53,1.6124179348099648,1.9542703817642,CO2,Marstorp and Witter (1999)
54,1.7018707064355065,2.44782781468932,CO2,Marstorp and Witter (1999)
55,1.761496693151674,3.05049177740157,CO2,Marstorp and Witter (1999)
56,1.880725920861725,3.77571411521204,CO2,Marstorp and Witter (1999)
57,1.9403288591306818,4.61946575147739,CO2,Marstorp and Witter (1999)
58,2.0297182453017935,5.44343181739781,CO2,Marstorp and Witter (1999)
59,2.0893009334614696,6.06784639660365,CO2,Marstorp and Witter (1999)
