,Simulation,Observation,Variable,Study
0,0.4098980448872052,0.358,kec,Wardle and Parkinson (1990)
1,0.39789709898649794,0.379,kec,Wardle and Parkinson (1990)
2,0.3762029714604575,0.335,kec,Wardle and Parkinson (1990)
3,0.34885003852273844,0.296,kec,Wardle and Parkinson (1990)
4,0.4098980448872052,0.379,kec,Wardle and Parkinson (1990)
5,0.39789709898649794,0.396,kec,Wardle and Parkinson (1990)
6,0.3762029714604575,0.352,kec,Wardle and Parkinson (1990)
7,0.34885003852273844,0.319,kec,Wardle and Parkinson (1990)
8,0.4098980448872052,0.4,kec,Wardle and Parkinson (1990)
9,0.39789709898649794,0.411,kec,Wardle and Parkinson (1990)
10,0.3762029714604575,0.378,kec,Wardle and Parkinson (1990)
11,0.34885003852273844,0.35,kec,Wardle and Parkinson (1990)
12,0.4098980448872052,0.39,kec,Wardle and Parkinson (1990)
13,0.39789709898649794,0.389,kec,Wardle and Parkinson (1990)
14,0.3762029714604575,0.371,kec,Wardle and Parkinson (1990)
15,0.34885003852273844,0.328,kec,Wardle and Parkinson (1990)
16,0.4098980448872052,0.403,kec,Wardle and Parkinson (1990)
17,0.39789709898649794,0.382,kec,Wardle and Parkinson (1990)
18,0.3762029714604575,0.358,kec,Wardle and Parkinson (1990)
19,0.34885003852273844,0.316,kec,Wardle and Parkinson (1990)
20,0.4098980448872052,0.402,kec,Wardle and Parkinson (1990)
21,0.39789709898649794,0.391,kec,Wardle and Parkinson (1990)
22,0.3762029714604575,0.358,kec,Wardle and Parkinson (1990)
23,0.34885003852273844,0.347,kec,Wardle and Parkinson (1990)
24,0.4098980448872052,0.404,kec,Wardle and Parkinson (1990)
25,0.39789709898649794,0.415,kec,Wardle and Parkinson (1990)
26,0.3762029714604575,0.417,kec,Wardle and Parkinson (1990)
27,0.34885003852273844,0.357,kec,Wardle and Parkinson (1990)
28,0.4098980448872052,0.422,kec,Wardle and Parkinson (1990)
29,0.39789709898649794,0.435,kec,Wardle and Parkinson (1990)
30,0.3762029714604575,0.391,kec,Wardle and Parkinson (1990)
31,0.34885003852273844,0.389,kec,Wardle and Parkinson (1990)
32,0.4098980448872052,0.421,kec,Wardle and Parkinson (1990)
33,0.39789709898649794,0.421,kec,Wardle and Parkinson (1990)
34,0.3762029714604575,0.396,kec,Wardle and Parkinson (1990)
35,0.34885003852273844,0.37,kec,Wardle and Parkinson (1990)
36,0.4098980448872052,0.435,kec,Wardle and Parkinson (1990)
37,0.39789709898649794,0.44,kec,Wardle and Parkinson (1990)
38,0.3762029714604575,0.4,kec,Wardle and Parkinson (1990)
39,0.34885003852273844,0.346,kec,Wardle and Parkinson (1990)
0,49.9583680266445,49.9583680266445,S,Marstorp and Witter (1999)
1,49.66089000567593,,S,Marstorp and Witter (1999)
2,49.31533242391207,39.8509263670649,S,Marstorp and Witter (1999)
3,48.971385448894644,,S,Marstorp and Witter (1999)
4,48.6778518133975,30.723060551145,S,Marstorp and Witter (1999)
5,48.38549456671325,,S,Marstorp and Witter (1999)
6,48.191241724238985,,S,Marstorp and Witter (1999)
7,47.94915752124938,30.500429677586,S,Marstorp and Witter (1999)
8,47.80429662417377,,S,Marstorp and Witter (1999)
9,47.707884795822515,,S,Marstorp and Witter (1999)
10,47.563509919985556,,S,Marstorp and Witter (1999)
11,47.41942613965293,,S,Marstorp and Witter (1999)
12,47.32353181488386,19.5915168731939,S,Marstorp and Witter (1999)
13,47.1799323352289,,S,Marstorp and Witter (1999)
14,47.084360520856976,,S,Marstorp and Witter (1999)
15,46.893603193276654,,S,Marstorp and Witter (1999)
16,46.79841745315648,,S,Marstorp and Witter (1999)
17,46.65587967922911,0.890523494236081,S,Marstorp and Witter (1999)
18,46.56101488943718,,S,Marstorp and Witter (1999)
19,46.418958012538816,,S,Marstorp and Witter (1999)
20,46.2299968283646,,S,Marstorp and Witter (1999)
21,46.135707977688774,,S,Marstorp and Witter (1999)
22,45.994514064014936,0.890523494236081,S,Marstorp and Witter (1999)
23,45.7598282451716,,S,Marstorp and Witter (1999)
24,45.525937634566475,,S,Marstorp and Witter (1999)
25,45.24631614099186,,S,Marstorp and Witter (1999)
26,44.92153122580624,,S,Marstorp and Witter (1999)
27,44.69048908844555,,S,Marstorp and Witter (1999)
28,44.27659610693793,,S,Marstorp and Witter (1999)
29,43.59241620976198,0.890523494236081,S,Marstorp and Witter (1999)
30,42.556945239347826,,S,Marstorp and Witter (1999)
31,40.578095504050694,,S,Marstorp and Witter (1999)
32,39.08143555589469,,S,Marstorp and Witter (1999)
33,37.66252856144306,,S,Marstorp and Witter (1999)
34,36.27760372242139,,S,Marstorp and Witter (1999)
35,34.92616930370196,,S,Marstorp and Witter (1999)
36,32.32182528604348,,S,Marstorp and Witter (1999)
37,31.104376173305763,,S,Marstorp and Witter (1999)
38,29.881138077709974,,S,Marstorp and Witter (1999)
39,28.654397367979104,,S,Marstorp and Witter (1999)
40,27.49376520471948,,S,Marstorp and Witter (1999)
41,0.0,0.0,CO2,Marstorp and Witter (1999)
42,0.2576291511661086,0.008871352656646,CO2,Marstorp and Witter (1999)
43,0.5566522255441053,0.032600542098624,CO2,Marstorp and Witter (1999)
44,0.8540171098271426,0.070857514413369,CO2,Marstorp and Witter (1999)
45,1.1075853422772313,0.134096735238337,CO2,Marstorp and Witter (1999)
46,1.3599421808361822,0.223020961602405,CO2,Marstorp and Witter (1999)
47,1.527508625374883,0.335527014861182,CO2,Marstorp and Witter (1999)
48,1.7362129259330508,0.499120607792758,CO2,Marstorp and Witter (1999)
49,1.8610341928431036,0.697518338062734,CO2,Marstorp and Witter (1999)
50,1.944081395281064,0.928798604420278,CO2,Marstorp and Witter (1999)
51,2.0684020208501526,1.20482520589228,CO2,Marstorp and Witter (1999)
52,2.1924227739184357,1.54271065806504,CO2,Marstorp and Witter (1999)
53,2.274936869180922,1.9542703817642,CO2,Marstorp and Witter (1999)
54,2.3984586846792206,2.44782781468932,CO2,Marstorp and Witter (1999)
55,2.4806405079536082,3.05049177740157,CO2,Marstorp and Witter (1999)
56,2.644606131901285,3.77571411521204,CO2,Marstorp and Witter (1999)
57,2.7263901570098232,4.61946575147739,CO2,Marstorp and Witter (1999)
58,2.8488180258707736,5.44343181739781,CO2,Marstorp and Witter (1999)
59,2.930271322039147,6.06784639660365,CO2,Marstorp and Witter (1999)
60,3.052203619825129,6.49827282310138,CO2,Marstorp and Witter (1999)
61,3.214318325892669,6.81925821001246,CO2,Marstorp and Witter (1999)
