Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,CO2,DNA,DNAinit,Sinit,Treatment
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0,0,2.4848630240651,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.080060948021065,0.17541160608294,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.122540145734655,0.539241652067532,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.161751365160639,0.903432998991554,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.205862292005386,1.45134587360493,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.245075771444017,1.63127374143051,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.289186698288764,2.17918661604387,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.330029646845904,2.72746079159664,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.372506584546847,3.27555431667971,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.414985782260438,3.63938436266432,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.459094449092537,4.37156071637616,,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.49829888848058,5.28854250059557,2.65017752763535,2.4848630240651,832.639467110741,Rhizosphere
Blagodatskaya et al. (2014),Loamy sand,Glucose,,6.7,1.1,0.087,0.537503327868623,6.20552428481498,,2.4848630240651,832.639467110741,Rhizosphere
