Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Temperature,Time,Cmicinit,Sinit,Cmic14,CO214cumul,S,kec,ken,Treatment,Nmin,NminInit,Nmin15init,Nmin15,Nmicinit,Nmic15,N15Flush
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0,9.62531223980017,2.49791840133222,0,0,2.49791840133222,,,LC,3.9728967235845,3.83014154870941,0.142755174875089,0.142755174875089,0.24,0,0
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.25,9.62531223980017,2.49791840133222,2.19685349927692,0.27699689202892,0,0.417509727626459,0.541176470588235,LC,3.3738101888181,3.83014154870941,0.142755174875089,0.082422559683232,0.24,0.060332615191857,0.032650591750888
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.5,9.62531223980017,2.49791840133222,2.08839125290328,0.379881451925376,0,0.408560311284047,0.468542199488491,LC,3.37824357934217,3.83014154870941,0.142755174875089,0.083121055951734,0.24,0.059634118923355,0.027941101244907
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,1,9.62531223980017,2.49791840133222,2.03514615013804,0.441216478017494,0,0.45875486381323,0.50076726342711,LC,3.38267696986624,3.83014154870941,0.142755174875089,0.081549439347604,0.24,0.061205735527485,0.030649828686142
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,3,9.62531223980017,2.49791840133222,1.93260002629388,0.550036685600284,0,0.488326848249027,0.416879795396419,LC,3.41814409405881,3.83014154870941,0.142755174875089,0.080850943079102,0.24,0.061904231795987,0.025806623485284
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,7,9.62531223980017,2.49791840133222,1.87146676015601,0.627200105522626,0,0.468482490272374,0.426086956521739,LC,3.50681190454023,3.83014154870941,0.142755174875089,0.082247935616106,0.24,0.060507239258983,0.025781345423393
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0,9.62531223980017,24.9791840133222,0,0,24.9791840133222,,,HC,3.9728967235845,3.83014154870941,0.142755174875089,0.142755174875089,0.24,0,
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.25,9.62531223980017,24.9791840133222,9.36719400499584,1.22670052184236,14.3592914088559,0.409727626459144,0.341687979539642,HC,3.3738101888181,3.83014154870941,0.142755174875089,0.054657333010279,0.24,0.08809784186481,0.03010197358859
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.5,9.62531223980017,24.9791840133222,16.5257022656558,3.957098457556,4.48727856526747,0.389494163424124,0.320716112531969,HC,2.83293654488143,3.83014154870941,0.142755174875089,0.044529137117,0.24,0.098226037758089,0.031502672979193
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,1,9.62531223980017,24.9791840133222,17.0778737017398,7.71634199223419,0.179491142610698,0.360311284046693,0.287468030690537,HC,2.36299714932989,3.83014154870941,0.142755174875089,0.036845678163479,0.24,0.10590949671161,0.030445594451113
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,3,9.62531223980017,24.9791840133222,15.7171655199614,9.16068292924213,0,0.33852140077821,0.248593350383632,HC,2.34083019670954,3.83014154870941,0.142755174875089,0.035797933760726,0.24,0.106957241114363,0.02658885891641
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,7,9.62531223980017,24.9791840133222,14.5536614224988,10.4071689433723,0,0.327237354085603,0.235294117647059,HC,2.2698959483244,3.83014154870941,0.142755174875089,0.036147181894977,0.24,0.106607992980112,0.025084233642379
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0,9.62531223980017,24.9791840133222,0,0,24.9791840133222,,,HCHN,5.2576932974603,3.83014154870941,1.42755174875089,1.42755174875089,0.24,0,
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.25,9.62531223980017,24.9791840133222,9.68272053990096,1.20691502955458,13.9329999451555,0.5,0.348337595907928,HCHN,4.45112408616738,3.83014154870941,1.42755174875089,0.962178609861456,0.24,0.465373138889434,0.162106960400872
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,0.5,9.62531223980017,24.9791840133222,19.2865594460756,4.0560259189949,1.45836553371193,0.447470817120623,0.391304347826087,HCHN,3.38267696986624,3.83014154870941,1.42755174875089,0.3911579103611,0.24,1.03639383838979,0.405545415022092
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,1,9.62531223980017,24.9791840133222,17.4525614619396,7.18213370046413,0,0.378599221789883,0.287979539641944,HCHN,3.44031104667917,3.83014154870941,1.42755174875089,0.235742490619413,0.24,1.19180925813148,0.343216681497709
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,3,9.62531223980017,24.9791840133222,15.9735308295718,8.88368603721322,0,0.359143968871595,0.238874680306905,HCHN,3.34720984567368,3.83014154870941,1.42755174875089,0.251458656660707,0.24,1.17609309209018,0.280938861384202
"Bremer and van Kessel, 1990",silty loam,Glucose,,7.4,1.3,0.17,22.5,7,9.62531223980017,24.9791840133222,15.3621981681932,9.51682179042218,0,0.327237354085603,0.223529411764706,HCHN,3.36937679829403,3.83014154870941,1.42755174875089,0.274159785387021,0.24,1.15339196336387,0.257817027104865
