Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,DNAinit,Sinit,Cmic,Nmic,CO2,DNA,Treatment
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,0,2.39800166527893,0.129102940532013,78.8925895087427,2.39800166527893,0.326823828930619,0,0.129102940532013,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,1,2.39800166527893,0.129102940532013,78.8925895087427,2.66028309741882,0.321495179545881,0.601488809077013,0.116744817914896,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,3,2.39800166527893,0.129102940532013,78.8925895087427,2.41298917568693,0.333928694776937,2.93785029888029,0.108856654542267,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,4,2.39800166527893,0.129102940532013,78.8925895087427,3.92672772689425,0.152754615695833,4.8069394907229,0.131995267101976,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,5,2.39800166527893,0.129102940532013,78.8925895087427,,,9.03227409994159,,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,6,2.39800166527893,0.129102940532013,78.8925895087427,3.12489592006661,0.140321100464777,13.8193296630917,0.244270125772383,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,7,2.39800166527893,0.129102940532013,78.8925895087427,,,15.8922291125555,,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,8,2.39800166527893,0.129102940532013,78.8925895087427,,,17.3039879702238,,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,11,2.39800166527893,0.129102940532013,78.8925895087427,1.16153205661948,0.099468121848449,22.1805212074515,0.139620491695517,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,13,2.39800166527893,0.129102940532013,78.8925895087427,,,23.8308871959934,,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,15,2.39800166527893,0.129102940532013,78.8925895087427,,,25.173052307157,,LowP
Chen et al. (2019),Loamy sand,Glucose,,3.5,7910.07493755204,,17,2.39800166527893,0.129102940532013,78.8925895087427,1.49875104079933,0.103020554771608,26.2666683236606,0.120951838380297,LowP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,0,277.164862614488,2.28458266759682,277.164862614488,43.406450908396,5.91480081705957,0,2.28458266759682,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,1,277.164862614488,2.28458266759682,277.164862614488,41.0313809530309,5.79934674705691,3.36974090218935,2.49251749668069,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,3,277.164862614488,2.28458266759682,277.164862614488,37.5916244659505,5.28424397319887,23.9016505852966,2.44931025946846,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,4,277.164862614488,2.28458266759682,277.164862614488,65.7648680744189,7.25584424555206,41.5340157711711,3.38906766883453,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,5,277.164862614488,2.28458266759682,277.164862614488,,,74.9571435568399,,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,6,277.164862614488,2.28458266759682,277.164862614488,74.36425929212,8.43702819250239,107.518244600088,3.43497535837253,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,7,277.164862614488,2.28458266759682,277.164862614488,,,118.293578880345,,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,8,277.164862614488,2.28458266759682,277.164862614488,,,124.915511583484,,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,11,277.164862614488,2.28458266759682,277.164862614488,63.7992929389443,7.30024965709155,143.018073174316,2.37099714202129,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,13,277.164862614488,2.28458266759682,277.164862614488,,,150.619581721115,,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,15,277.164862614488,2.28458266759682,277.164862614488,,,157.123965323015,,HighP
Chen et al. (2019),Silty clay loam,Glucose,,3.8,14571.190674438,,17,277.164862614488,2.28458266759682,277.164862614488,64.8639794706597,5.75494133551742,162.766322182495,2.71665503971915,HighP
