Species,SGR,RNA
E. Coli,0.114608309194813,0.028826475221636
E. Coli,0.130309512040001,0.029510592460158
E. Coli,0.19764789944824,0.037740788478804
E. Coli,0.197663298823334,0.039457818801713
E. Coli,0.229065704513711,0.040826053278758
E. Coli,0.256063888927387,0.051123615403687
E. Coli,0.282941958215335,0.048028341009922
E. Coli,0.300869910699024,0.046995042941158
E. Coli,0.341274791068978,0.052139204191094
E. Coli,0.352482456261925,0.051793873204625
E. Coli,0.372788072260027,0.065870056993087
E. Coli,0.410867646990885,0.06174263948369
E. Coli,0.417661851282075,0.06929641795136
E. Coli,0.460210324665025,0.063451200150298
E. Coli,0.480438943787661,0.068942232324212
E. Coli,0.43789355027973,0.075130856189856
E. Coli,0.460355078790903,0.079591285185647
E. Coli,0.469354473595462,0.083023805893957
E. Coli,0.498431573646741,0.075120461611668
E. Coli,0.464771619567678,0.072035581796091
E. Coli,0.554463739861436,0.072706994550161
E. Coli,0.561310302027944,0.086098676115723
E. Coli,0.597163127120301,0.083688673913613
E. Coli,0.547906685946684,0.091595483055298
E. Coli,0.550185793460501,0.095715970845903
E. Coli,0.577140859623916,0.101205848066685
E. Coli,0.630884678699738,0.093641675020828
E. Coli,0.653389325461173,0.102909788920766
E. Coli,0.68694764366462,0.09466226860514
E. Coli,0.680150359498411,0.086765084072888
E. Coli,0.71827305247953,0.087445351467638
E. Coli,0.745237358268001,0.093965446882166
E. Coli,0.924717074981097,0.105953860392345
E. Coli,0.94945155125605,0.113847965049578
E. Coli,0.994285291902854,0.112810047168286
E. Coli,0.998791149055171,0.115213119651605
E. Coli,0.978688804808301,0.123801736125548
E. Coli,1.03695696028655,0.1207010719505
E. Coli,1.03480104777348,0.130316826743171
E. Coli,1.10654365645842,0.129617695113932
E. Coli,1.16718331570105,0.140939700666947
E. Coli,1.26807078168768,0.139892158176221
E. Coli,1.27047000432722,0.157405482485521
E. Coli,1.30423775403194,0.172509574561464
E. Coli,1.38710487128432,0.162193148202046
E. Coli,1.45897375484503,0.175573665220665
E. Coli,1.57796780606643,0.193410376406925
E. Coli,1.56903000876224,0.196845976990254
E. Coli,1.72601431833896,0.200596494794241
E. Coli,1.80012535091326,0.213976626828483
E. Coli,1.90085882314896,0.195758781108663
S. Cerevisiae,0.112647850836827,0.086363636363636
S. Cerevisiae,0.139648349741406,0.088429752066116
S. Cerevisiae,0.159914411525006,0.098347107438017
S. Cerevisiae,0.155438214851243,0.110743801652893
S. Cerevisiae,0.174565472704342,0.113223140495868
S. Cerevisiae,0.232543762608186,0.138842975206612
S. Cerevisiae,0.244901721995494,0.130578512396694
S. Cerevisiae,0.248322007269752,0.15495867768595
S. Cerevisiae,0.269737718735571,0.178099173553719
S. Cerevisiae,0.330504916224315,0.191322314049587
S. Cerevisiae,0.338985519372062,0.214876033057851
S. Cerevisiae,0.368798166758081,0.216942148760331
S. Cerevisiae,0.368817534171865,0.227272727272727
S. Cerevisiae,0.420026525609919,0.242148760330579
S. Cerevisiae,0.463352979637876,0.252479338842975
S. Cerevisiae,0.462809142658821,0.262396694214876
S. Cerevisiae,0.463944073106564,0.267768595041322
