Substrate,Time,SolPool,MeOHPool,Residual,kec_new,kec_original,Ctot
Glucose,0.5,39,5.9,52.2,0.67,0.42,2.5
Glucose,1,37,5.7,48.7,0.68,0.4,2.5
Glucose,2,36.2,5.6,48.9,0.66,0.39,2.5
Glucose,4,33.5,4.6,50.4,0.61,0.39,2.5
Glucose,8,33.2,4.4,50.4,0.61,0.37,2.5
Glucose,12,32.5,4.2,51,0.59,,2.5
Glucose,24,31.2,3.8,51,0.57,0.37,2.5
Glucose,48,,,,,0.36,2.5
Glucose,168,22.7,3.3,53.6,0.4,0.29,2.5
Glucose,336,21.8,3.3,52.2,0.39,0.29,2.5
Glucose,504,20.4,3,52,0.37,0.28,2.5
Glucose,672,18.3,2.9,52.9,0.33,0.25,2.5
Glucose,840,18,2.5,51.1,0.34,0.25,2.5
Glucose,1008,17.5,2.8,49.6,0.33,0.25,2.5
Glucose,1176,19.4,3,46.6,0.39,0.29,2.5
Alanin,0.5,30.9,4.1,56.6,0.51,,2.5
Alanin,2,29.2,3.8,52.5,0.52,0.38,2.5
Alanin,4,26.9,3.6,51.6,0.49,0.36,2.5
Alanin,8,26.4,3.5,49.3,0.5,0.35,2.5
Alanin,12,25.7,3.4,47.7,0.5,0.34,2.5
Alanin,24,24.7,3.1,47.5,0.49,0.33,2.5
Alanin,48,21.9,2.9,48.2,0.43,0.31,2.5
Alanin,168,18.2,2.6,45.7,0.38,0.31,2.5
Alanin,336,17.2,2.8,43.2,0.37,0.28,2.5
Alanin,504,16.3,2.4,41.4,0.37,0.28,2.5
Alanin,840,14,2.3,38.6,0.34,0.28,2.5
Alanin,1008,12.6,2.2,38.4,0.31,0.26,2.5
Alanin,1176,9,1.9,39.3,0.22,0.21,2.5
