Substrate,Time,Substrate13C,Sinit,resp,Rc,R13,Cells,Cells13C,Walls,Walls13C,CNF10000,CF10000,Flush10000,C13NF10000,Flush13C10000,CNF500,CNF0,WallsProtoDirect,WallsProtoIndirect,Exp
Sucrose,0.1,-24.75,51.29,,0.07,-22.27,2.11,-28.41,0.180,-27.76,25.88,17.15,,-25.11,,23.96,60.22,0.09,,Viden
Sucrose,0.1,-24.75,51.29,,0.08,-22.49,2.11,-28.41,0.180,-27.76,27.57,25.21,,-25.07,,30.55,62.69,0.09,,Viden
Sucrose,0.1,-24.75,51.29,,0.11,-23.39,2.11,-28.41,0.180,-27.76,28.18,42.75,14.57,-24.96,-26.20,37.14,65.17,0.09,0.012,Viden
Sucrose,0.1,-24.75,51.29,,0.11,-23.46,2.15,-28.26,1.159,-25.95,29.26,42.75,13.49,-24.81,-26.41,38.48,69.94,1.17,0.086,Viden
Sucrose,0.1,-24.75,51.29,,0.15,-23.37,2.15,-28.26,1.159,-25.95,31.87,53.17,21.30,-24.80,-26.09,40.26,74.26,1.17,0.054,Viden
Sucrose,0.1,-24.75,51.29,,0.14,-23.39,2.15,-28.26,1.159,-25.95,35.57,53.17,17.60,-24.52,-26.51,42.04,78.59,1.17,0.066,Viden
Sucrose,24,-24.75,51.29,0.67,16.09,-25.92,2.83,-26.64,0.457,-27.14,7.678,9.45,1.77,-25.65,-22.91,16.16,25.48,0.19,0.258,Viden
Sucrose,24,-24.75,51.29,0.65,15.71,-25.77,2.83,-26.64,0.457,-27.14,9.368,10.12,0.75,-25.16,-24.84,19.25,25.48,0.19,0.608,Viden
Sucrose,24,-24.75,51.29,0.69,16.66,-25.55,2.99,-25.32,3.155,-26.82,12.686,10.37,,-24.99,,20.45,46.56,,,Viden
Sucrose,24,-24.75,51.29,0.69,16.76,-25.57,2.99,-25.32,3.155,-26.82,15.657,10.37,,-24.98,,24.84,53.50,,,Viden
Sucrose,24,-24.75,51.29,0.62,14.97,-25.66,4.95,-24.91,3.418,-24.68,21.589,12.30,,-20.45,,48.68,54.30,2.23,,Viden
Sucrose,24,-24.75,51.29,0.61,14.80,-25.68,4.95,-24.91,3.418,-24.68,21.589,37.76,16.17,-20.45,-25.26,29.02,62.95,2.23,0.211,Viden
Sucrose,48,-24.75,51.29,0.30,23.26,-25.37,2.62,-27.05,1.790,-26.99,1.987,5.41,3.43,-25.54,-25.59,11.96,22.64,2.16,0.523,Viden
Sucrose,48,-24.75,51.29,0.28,22.52,-25.27,2.62,-27.05,1.790,-26.99,3.455,6.24,2.79,-25.53,-24.51,5.70,24.49,2.16,0.642,Viden
Sucrose,48,-24.75,51.29,0.26,22.83,-25.28,3.66,-26.70,2.344,-26.86,3.749,6.54,2.79,-25.38,-24.51,6.38,28.04,1.78,0.840,Viden
Sucrose,48,-24.75,51.29,0.22,21.99,-25.29,3.66,-26.70,2.344,-26.86,4.877,7.55,2.68,-24.20,-25.94,19.10,30.82,1.78,0.876,Viden
Sucrose,48,-24.75,51.29,0.27,21.50,-25.26,4.89,-26.24,3.470,-26.35,5.208,8.79,3.58,-23.89,-26.02,20.19,34.88,2.44,0.968,Viden
Sucrose,48,-24.75,51.29,0.23,20.37,-25.28,4.89,-26.24,3.470,-26.35,5.647,13.13,7.48,-23.88,-25.40,27.46,40.97,2.44,0.464,Viden
Sucrose,72,-24.75,51.29,0.09,25.31,-25.29,2.59,-26.99,1.874,-26.79,2.842,3.49,0.65,-24.64,-27.44,13.04,24.91,2.63,,Viden
Sucrose,72,-24.75,51.29,0.10,24.84,-25.25,2.59,-26.99,1.874,-26.79,3.028,6.13,3.11,-24.45,-25.24,15.90,26.67,2.63,0.604,Viden
Sucrose,72,-24.75,51.29,0.13,25.83,-25.26,3.36,-25.98,1.874,-26.79,3.618,7.04,3.42,-24.42,-24.55,17.13,37.85,1.26,0.548,Viden
Sucrose,72,-24.75,51.29,0.11,24.71,-25.22,3.36,-25.98,2.634,-26.08,3.998,7.13,3.13,-24.29,-24.46,19.74,40.62,3.63,0.840,Viden
Sucrose,72,-24.75,51.29,0.07,23.30,-25.13,3.72,-25.96,2.634,-26.08,4.750,9.64,4.89,-24.19,-24.39,20.57,46.93,2.43,0.539,Viden
Sucrose,72,-24.75,51.29,0.11,23.03,-25.28,3.72,-25.96,2.634,-26.08,6.045,10.52,4.47,-23.94,-24.10,22.98,46.93,2.43,0.589,Viden
Sucrose,96,-24.75,51.29,0.09,27.58,-25.32,2.09,-26.58,1.063,-26.86,3.473,6.10,2.62,-25.15,-25.36,11.76,23.16,1.03,0.405,Viden
Sucrose,96,-24.75,51.29,0.11,27.53,-25.27,2.09,-26.58,1.063,-26.86,4.755,6.15,1.40,-25.08,-24.28,12.30,24.71,1.03,0.762,Viden
Sucrose,96,-24.75,51.29,0.04,26.74,-25.26,2.63,-26.55,1.751,-26.61,5.523,6.46,0.94,-25.04,-23.17,12.59,27.04,1.99,1.869,Viden
Sucrose,96,-24.75,51.29,0.05,25.91,-25.24,2.63,-26.55,1.751,-26.61,5.695,6.87,1.17,-24.77,-23.42,12.68,27.13,1.99,1.493,Viden
Sucrose,96,-24.75,51.29,0.12,26.16,-25.30,3.06,-26.22,2.141,-26.36,5.799,7.33,1.53,-24.72,-23.63,13.87,42.67,2.33,1.399,Viden
Sucrose,96,-24.75,51.29,0.10,25.50,-25.30,3.06,-26.22,2.141,-26.36,6.155,11.74,5.59,-24.36,-24.63,15.83,43.11,2.33,0.383,Viden
Sucrose,120,-24.75,51.29,0.09,29.74,-25.30,1.32,-26.73,1.174,-27.06,2.703,5.38,2.68,-24.56,-24.01,8.57,20.20,8.11,0.438,Viden
Sucrose,120,-24.75,51.29,0.06,28.96,-25.31,1.32,-26.73,1.174,-27.06,3.096,5.57,2.47,-24.14,-26.89,10.50,24.10,8.11,0.475,Viden
Sucrose,120,-24.75,51.29,0.07,28.41,-25.20,1.50,-26.63,1.242,-26.99,3.096,6.47,3.38,-23.47,-26.73,10.53,25.42,4.74,0.368,Viden
Sucrose,120,-24.75,51.29,0.05,27.15,-25.26,1.50,-26.63,1.242,-26.99,3.354,6.50,3.14,-23.10,-27.07,11.69,32.44,4.74,0.395,Viden
Sucrose,120,-24.75,51.29,0.03,26.92,-25.27,2.38,-26.32,1.529,-25.82,4.534,6.73,2.19,-23.10,-28.49,13.51,34.64,1.80,0.698,Viden
Sucrose,120,-24.75,51.29,0.02,25.89,-25.25,2.38,-26.32,1.529,-25.82,5.458,8.00,2.54,-23.07,-27.53,15.32,35.92,1.80,0.602,Viden
Sodium acetate,0.1,-28.58,52.61,,0.23,-24.25,1.19,-28.48,1.167,-28.73,23.39,3.85,,-28.07,,32.52,43.70,,,Viden
Sodium acetate,0.1,-28.58,52.61,,0.23,-24.23,1.19,-28.48,1.167,-28.73,27.57,20.60,,-27.96,,33.25,55.60,,,Viden
Sodium acetate,0.1,-28.58,52.61,,0.12,-25.19,1.30,-28.42,1.167,-28.73,27.83,24.57,,-27.79,,33.25,56.21,,,Viden
Sodium acetate,0.1,-28.58,52.61,,0.12,-25.13,1.30,-28.42,1.733,-27.82,27.83,27.55,,-27.79,,35.61,56.21,,,Viden
Sodium acetate,0.1,-28.58,52.61,,0.15,-26.57,1.45,-28.31,1.733,-27.82,29.26,30.31,1.05,-27.64,,38.38,57.03,,,Viden
Sodium acetate,0.1,-28.58,52.61,,0.15,-26.52,1.45,-28.31,1.733,-27.82,31.90,33.83,1.93,-27.20,,38.38,70.94,,,Viden
Sodium acetate,24,-28.58,52.61,0.18,4.54,-43.68,0.24,-26.13,1.154,-27.01,18.78,24.97,6.18,-18.69,-25.81,30.62,40.42,,0.187,Viden
Sodium acetate,24,-28.58,52.61,0.18,4.43,-43.58,0.24,-26.13,1.154,-27.01,18.78,25.02,6.24,-17.52,-29.28,33.75,44.90,,0.185,Viden
Sodium acetate,24,-28.58,52.61,0.20,4.89,-42.93,1.55,-24.07,1.154,-27.01,21.35,30.23,8.88,-17.12,-25.34,34.71,46.95,,0.130,Viden
Sodium acetate,24,-28.58,52.61,0.20,4.83,-42.85,1.55,-24.07,1.617,-26.76,21.35,30.23,8.88,-16.16,-27.08,34.71,52.41,,0.182,Viden
Sodium acetate,24,-28.58,52.61,0.26,6.50,-40.40,3.69,-24.04,1.617,-26.76,21.39,33.99,12.60,-13.42,-29.45,39.76,52.41,0.78,0.128,Viden
Sodium acetate,24,-28.58,52.61,0.24,6.01,-40.31,3.69,-24.04,1.617,-26.76,27.69,33.99,6.29,-13.42,-43.19,39.76,55.85,0.78,0.257,Viden
Sodium acetate,48,-28.58,52.61,0.25,10.65,-38.21,1.10,-26.12,1.327,-26.87,9.48,20.54,11.06,-16.54,-20.62,19.86,19.53,,0.120,Viden
Sodium acetate,48,-28.58,52.61,0.25,10.54,-38.29,1.10,-26.12,1.327,-26.87,10.01,21.05,11.05,-15.52,-21.11,24.19,30.95,,0.120,Viden
Sodium acetate,48,-28.58,52.61,0.21,9.87,-38.58,1.10,-25.32,1.327,-26.87,17.63,25.69,8.06,-15.52,-23.61,26.54,35.27,,0.165,Viden
Sodium acetate,48,-28.58,52.61,0.21,9.81,-38.53,2.77,-25.32,1.402,-26.29,17.63,27.53,9.90,-15.24,-21.72,26.86,40.17,1.03,0.142,Viden
Sodium acetate,48,-28.58,52.61,0.15,10.10,-38.03,2.77,-24.59,1.402,-26.29,18.96,27.82,8.87,-14.27,-24.14,27.91,52.66,1.03,0.158,Viden
Sodium acetate,48,-28.58,52.61,0.16,9.92,-38.00,2.77,-24.59,1.402,-26.29,20.82,28.56,7.74,-13.78,-24.32,27.91,52.66,1.03,0.181,Viden
Sodium acetate,72,-28.58,52.61,0.07,12.22,-37.41,1.12,-25.23,1.150,-26.33,15.10,17.25,2.16,-16.44,-35.86,19.97,29.25,,0.533,Viden
Sodium acetate,72,-28.58,52.61,0.07,12.13,-37.43,2.09,-25.23,1.150,-26.33,16.15,18.36,2.22,-16.08,-34.99,24.04,35.88,1.22,0.519,Viden
Sodium acetate,72,-28.58,52.61,0.07,11.56,-37.82,2.09,-25.18,1.240,-26.33,16.79,21.74,4.95,-14.78,-29.05,24.67,36.86,1.45,0.250,Viden
Sodium acetate,72,-28.58,52.61,0.06,11.24,-37.80,2.85,-25.18,1.240,-26.33,17.35,23.57,6.22,-14.22,-28.48,25.46,39.87,0.77,0.199,Viden
Sodium acetate,72,-28.58,52.61,,,-37.04,2.85,-25.07,1.263,-25.94,17.58,23.70,6.12,-14.13,-27.38,27.07,42.04,0.80,0.206,Viden
Sodium acetate,72,-28.58,52.61,,,-36.98,1.12,-25.07,1.263,-25.94,18.12,26.06,7.94,-14.06,-22.65,29.78,42.79,,0.159,Viden
Sodium acetate,96,-28.58,52.61,0.05,13.43,-36.81,1.20,-24.57,0.526,-25.93,15.08,18.94,3.85,-16.11,-27.74,18.69,,0.78,0.136,Viden
Sodium acetate,96,-28.58,52.61,0.03,12.95,-36.91,1.20,-24.57,0.526,-25.93,16.35,20.67,4.32,-15.89,-26.40,23.52,,0.78,0.122,Viden
Sodium acetate,96,-28.58,52.61,0.01,11.80,-37.35,1.21,-24.53,0.526,-25.93,19.52,21.13,1.61,-15.88,-34.68,23.52,,0.77,0.326,Viden
Sodium acetate,96,-28.58,52.61,0.01,11.47,-37.37,1.21,-24.53,0.526,-25.93,19.86,22.05,2.19,-15.68,-22.08,24.89,,0.77,0.240,Viden
Sodium acetate,96,-28.58,52.61,0.05,12.45,-36.99,1.33,-24.30,0.526,-25.93,20.14,23.93,3.79,-13.67,-28.82,26.96,,0.65,0.139,Viden
Sodium acetate,96,-28.58,52.61,0.04,12.05,-36.99,1.33,-24.30,0.526,-25.93,21.05,27.71,6.66,-13.65,-22.13,30.87,,0.65,0.079,Viden
Sodium acetate,120,-28.58,52.61,0.04,14.36,-36.74,2.22,-24.64,0.776,-26.75,7.60,20.91,13.31,-13.90,-19.30,10.95,30.20,0.54,0.058,Viden
Sodium acetate,120,-28.58,52.61,0.04,13.93,-36.69,2.22,-24.64,0.776,-26.75,10.64,23.81,13.17,-13.09,-20.38,18.34,31.17,0.54,0.059,Viden
Sodium acetate,120,-28.58,52.61,0.12,14.65,-36.65,2.22,-24.64,0.989,-26.65,14.14,24.97,10.83,-12.68,-22.52,21.61,31.24,0.80,0.091,Viden
Sodium acetate,120,-28.58,52.61,0.11,14.19,-36.62,2.67,-22.24,0.989,-26.65,15.14,24.97,9.83,-12.62,-23.10,23.08,34.13,0.59,0.101,Viden
Sodium acetate,120,-28.58,52.61,0.05,13.69,-36.50,2.67,-22.24,1.381,-25.60,15.14,24.99,9.85,-12.21,-23.50,24.71,36.75,1.07,0.140,Viden
Sodium acetate,120,-28.58,52.61,0.05,13.30,-36.50,2.67,-22.24,1.381,-25.60,16.30,26.18,9.87,-12.20,-23.79,25.44,42.32,1.07,0.140,Viden
Amonnium acetate,0.1,-26.41,51.28,,0.08,-30.70,14.48,-26.73,,,39.00,40.73,1.73,-19.98,-69.29,40.71,43.83,,,CB
Amonnium acetate,0.1,-26.41,51.28,,0.11,-27.60,14.00,-26.27,,,39.01,42.18,3.17,-20.46,-58.11,43.04,42.06,,,CB
Amonnium acetate,0.1,-26.41,51.28,,0.10,-26.67,14.24,-26.50,,,45.67,49.45,3.78,-19.97,-31.68,43.88,46.93,,,CB
Amonnium acetate,24,-26.41,51.28,0.09,2.36,-33.23,35.93,-26.02,10.81,-26.98,9.19,19.35,10.16,-25.06,-25.26,15.04,15.12,0.43,1.064,CB
Amonnium acetate,24,-26.41,51.28,0.11,2.82,-33.95,50.59,-25.54,28.94,-25.52,10.33,21.13,10.81,-24.34,-24.67,15.48,19.64,1.34,2.678,CB
Amonnium acetate,24,-26.41,51.28,0.12,2.98,-33.56,50.66,-24.81,31.51,-27.36,,,,,,19.71,22.69,1.65,,CB
Amonnium acetate,48,-26.41,51.28,0.32,10.09,-29.53,5.75,-23.238,8.22,-25.68,4.49,7.00,2.51,-23.93,-26.99,,8.93,,3.27,CB
Amonnium acetate,48,-26.41,51.28,0.26,9.08,-29.33,6.67,-24.073,19.48,-24.67,5.98,7.63,1.65,-26.20,-15.85,,13.31,,11.81,CB
Amonnium acetate,48,-26.41,51.28,0.26,9.26,-29.76,10.07,-23.214,22.32,-26.53,6.04,10.27,4.23,-25.86,-21.31,,15.43,,5.28,CB
Amonnium acetate,72,-26.41,51.28,0.07,11.76,-28.60,15.43,-24.913,9.58,-22.62,4.96,5.46,0.50,-26.82,-5.83,7.18,8.66,1.64,19.26,CB
Amonnium acetate,72,-26.41,51.28,0.13,12.23,-29.31,22.27,-25.884,10.21,-22.84,6.02,6.46,0.44,-26.73,11.22,7.38,11.55,0.85,23.24,CB
Amonnium acetate,72,-26.41,51.28,0.07,10.98,-29.29,28.43,-25.733,10.85,-23.06,,,,,,7.91,9.63,0.62,,CB
Amonnium acetate,96,-26.41,51.28,0.01,11.93,-28.60,8.09,-25.48,7.83,-24.12,5.05,6.40,1.35,-26.35,-17.53,6.11,6.86,31.21,5.81,CB
Amonnium acetate,96,-26.41,51.28,,7.63,-27.15,14.40,-25.35,7.83,-24.99,4.56,6.77,2.21,-26.67,-24.20,6.47,13.60,1.19,3.55,CB
Amonnium acetate,96,-26.41,51.28,0.01,11.23,-28.34,21.75,-25.40,7.30,-25.50,4.81,7.54,2.72,-26.47,-23.98,8.22,20.57,0.51,2.68,CB
Amonnium acetate,120,-26.41,51.28,,4.16,-25.55,19.23,-26.34,26.58,-26.33,1.97,8.21,6.24,-26.62,-23.76,4.7,5.73,,4.26,CB
Amonnium acetate,120,-26.41,51.28,0.03,8.35,-28.70,19.86,-25.99,26.58,-26.33,3.00,9.12,6.12,-26.85,-22.20,4.4,7.33,,4.34,CB
Amonnium acetate,120,-26.41,51.28,0.05,12.47,-28.41,23.02,-25.81,26.58,-26.33,3.46,9.40,5.94,-26.60,-23.52,4.4,7.47,,4.48,CB
Sucrose,0.1,-24.75,51.29,,0.09,-37.28,12.35,-24.96,22.23,-28.18,26.18,45.23,19.06,-25.30,-24.01,25.95,26.63,,1.17,CB
Sucrose,0.1,-24.75,51.29,,0.11,-32.57,14.01,-24.79,42.81,-27.91,31.24,49.52,18.28,-24.32,-26.48,30.69,29.38,,2.34,CB
Sucrose,0.1,-24.75,51.29,,0.12,-31.68,17.37,-25.20,42.81,-27.66,32.52,45.49,12.98,-24.45,-26.24,31.45,32.97,,3.30,CB
Sucrose,24,-24.75,51.29,0.24,5.93,-26.85,45.54,-26.22,21.45,-26.44,0.869,13.86,13.00,-26.37,-25.47,0.69,5.44,,1.65,CB
Sucrose,24,-24.75,51.29,0.28,6.94,-26.57,45.54,-26.22,22.50,-26.50,0.904,20.12,19.21,-26.36,-25.19,0.87,4.81,,1.17,CB
Sucrose,24,-24.75,51.29,0.31,7.57,-26.62,45.54,-26.22,21.97,-26.47,0.693,18.42,17.72,-26.02,-25.03,0.90,7.21,,1.24,CB
Sucrose,48,-24.75,51.29,0.63,20.93,-25.45,11.48,-25.74,15.00,-26.42,2.04,9.58,7.54,-27.24,-25.40,,8.70,,1.99,CB
Sucrose,48,-24.75,51.29,0.59,21.05,-25.25,11.87,-25.76,19.07,-25.13,2.24,8.35,6.11,-27.04,-24.97,,6.22,,3.12,CB
Sucrose,48,-24.75,51.29,0.55,20.79,-25.15,12.25,-25.78,23.14,-25.77,2.40,7.74,5.34,-26.82,-24.30,,8.43,,4.33,CB
Sucrose,72,-24.75,51.29,,16.11,-25.25,8.09,-24.62,13.15,-26.22,2.59,7.07,4.48,-26.83,-25.02,4.29,7.90,,2.94,CB
Sucrose,72,-24.75,51.29,,16.45,-24.11,14.63,-24.35,32.58,-26.33,2.85,7.11,4.26,-26.60,-24.82,4.43,6.86,,7.65,CB
Sucrose,72,-24.75,51.29,0.03,21.47,-23.90,15.80,-25.25,32.58,-25.70,2.54,8.72,6.18,-25.27,-24.64,4.68,5.80,,5.27,CB
Sucrose,96,-24.75,51.29,,10.26,-25.74,17.27,-26.07,15.69,-26.40,1.27,6.89,5.62,-25.94,-25.90,2.81,5.11,,2.79,CB
Sucrose,96,-24.75,51.29,0.26,22.78,-25.26,17.39,-25.73,17.17,-26.37,1.29,7.83,6.54,-25.64,-25.58,3.57,8.20,,2.63,CB
Sucrose,96,-24.75,51.29,0.09,23.52,-22.18,17.51,-25.39,18.65,-26.39,1.61,7.92,6.30,-25.42,-25.35,2.67,9.10,,2.96,CB
Sucrose,120,-24.75,51.29,,,-23.19,8.70,-25.42,18.07,-26.29,0.32,8.24,7.92,-27.12,-25.47,1.52,5.72,,2.28,CB
