Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,DNAinit,Sinit,Cmic14,Cmic12,Flush,CO212cumul,DNA,S,Notes
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0,5.12681379749086,1.05634021338326,49.9583680266445,0,5.12681379749086,5.12681379749086,0,1.05634021338326,49.9583680266445,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.092081031307551,5.16875813885731,1.05634021338326,49.9583680266445,,,,0.452286324336208,,,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.19950890116636,5.16875813885731,1.05634021338326,49.9583680266445,2.778074640403,12.1158807712858,14.8939554116888,0.88291728360809,1.05106510620032,39.8509263670649,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.306936771025169,5.16875813885731,1.05634021338326,49.9583680266445,,,,1.68563365490508,,,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.399017802332719,5.16875813885731,1.05634021338326,49.9583680266445,4.69999091960066,8.62224055417119,13.3222314737719,2.16226899588018,1.1038161780297,30.723060551145,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.49109883364027,5.16875813885731,1.05634021338326,49.9583680266445,,,,3.12819070962551,,,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.552486187845304,5.16875813885731,1.05634021338326,49.9583680266445,,,,3.90150637974262,,,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.629220380601596,5.16875813885731,1.05634021338326,49.9583680266445,4.54112389765271,4.10335776089026,8.64448165854297,4.5026479734382,1.14074192831026,30.500429677586,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.675260896255371,5.16875813885731,1.05634021338326,49.9583680266445,,,,4.94716465896421,,,Respiration rate
"Marstorp and Witter, 1999",Sandy loam,Glucose,10,6.1,1.7,,0.705954573357889,5.16875813885731,1.05634021338326,49.9583680266445,,,,5.57639626548947,,,Respiration rate
