Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Winit,ATPinit,Sinit,W,ATP,CO2treatment,CO2control,CO2,Treatment
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0,824.322727272727,0.001904644943467,249.791840133222,824.322727272727,0.001904644943467,0,0,0,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.25,824.322727272727,0.001904644943467,249.791840133222,837.861272727273,0.002467990630971,0.295290715718406,0.376255491414058,0,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.5,824.322727272727,0.001904644943467,249.791840133222,1137.01945454545,0.007618579773867,1.31386791666374,0.929316225321297,0.384551691342442,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1,824.322727272727,0.001904644943467,249.791840133222,1141.82345454545,0.011776607467351,70.8935004906446,18.318939238222,52.5745612524227,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1.25,824.322727272727,0.001904644943467,249.791840133222,1155.362,0.020790138467419,94.8498386447161,19.1463529346186,75.7034857100975,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2,824.322727272727,0.001904644943467,249.791840133222,1366.738,0.019743925047768,118.409819320249,26.2142078254174,92.1956114948314,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2.5,824.322727272727,0.001904644943467,249.791840133222,1155.58036363636,0.015988287131073,130.741722067156,28.3863865189051,102.355335548251,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,3.54166666666667,824.322727272727,0.001904644943467,249.791840133222,,0.010837697988177,149.625826989772,32.8609526928396,116.764874296933,A
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0,835.240909090909,0.001958296913705,249.791840133222,835.240909090909,0.001958296913705,0,0,0,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.25,835.240909090909,0.001958296913705,249.791840133222,778.248,0.002628946541687,0.295290715718406,0.376255491414058,0,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.5,835.240909090909,0.001958296913705,249.791840133222,1031.98654545455,0.005499326949446,1.15216109615128,0.929316225321297,0.222844870829981,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1,835.240909090909,0.001958296913705,249.791840133222,1116.71163636364,0.015773679250119,55.4944412024961,18.318939238222,37.1755019642741,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1.25,835.240909090909,0.001958296913705,249.791840133222,948.571636363636,0.014968899696542,78.7433120168256,19.1463529346186,59.5969590822069,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2,835.240909090909,0.001958296913705,249.791840133222,1291.62090909091,0.013198384678671,124.943126405519,26.2142078254174,98.7289185801011,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2.5,835.240909090909,0.001958296913705,249.791840133222,1262.14181818182,0.010837697988177,140.066229489097,28.3863865189051,111.679842970192,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,3.54166666666667,835.240909090909,0.001958296913705,249.791840133222,,0.007538101818509,165.44643721038,32.8609526928396,132.58548451754,B
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0,739.597636363636,0.002307034720256,124.895920066611,739.597636363636,0.002307034720256,0,0,0,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.25,739.597636363636,0.002307034720256,124.895920066611,728.024363636364,0.002119252824421,0.295290715718406,0.376255491414058,0,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,0.5,739.597636363636,0.002307034720256,124.895920066611,897.037818181818,0.00643823642862,0.995727324133791,0.929316225321297,0.066411098812493,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1,739.597636363636,0.002307034720256,124.895920066611,1036.79054545455,0.009228138881022,40.0918665486843,18.318939238222,21.7729273104623,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,1.25,739.597636363636,0.002307034720256,124.895920066611,909.266181818182,0.011427869660801,50.3804630037896,19.1463529346186,31.2341100691709,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2,739.597636363636,0.002307034720256,124.895920066611,1035.69872727273,0.008986705014949,62.8143113549324,26.2142078254174,36.600103529515,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,2.5,739.597636363636,0.002307034720256,124.895920066611,827.598181818182,,71.9946887846779,28.3863865189051,43.6083022657728,C
Nannipieri et al. (1977),Chernozem,Glucose,,7,2,,3.54166666666667,739.597636363636,0.002307034720256,124.895920066611,,0.007108886056601,81.4202629694395,32.8609526928396,48.5593102765998,C
