Study,Substrate,Soil,Ctot,Ntot,pH,Time,Sinit,S,Flush,CO2,kec,Cmicinit
Sparling et al. 1990,Glucose,1,4746.04496253123,,4.84,2,68.0849797009051,26.7291087157315,11.3598712041859,13.7357919789176,0.41,22.6477935054122
Sparling et al. 1990,Glucose,2,8576.18651124063,,4.68,2,69.4214351366916,45.1424947199022,8.16722766314019,7.05351479998471,0.47,16.819317235637
Sparling et al. 1990,Glucose,3,13655.2872606162,,5.06,2,80.8555538650879,35.8615541936065,12.9933167368139,14.3297721726005,0.42,35.1373855120733
Sparling et al. 1990,Glucose,4,21565.3621981682,,4.85,2,79.1478608082495,42.8408214693808,12.1023464462896,11.7311088252377,0.49,25.895087427144
Sparling et al. 1990,Glucose,5,34138.2181515404,,4.42,2,114.415434808173,101.050880450307,5.12307917051521,4.82608907367375,0.6,20.3164029975021
Sparling et al. 1990,Glucose,6,25312.2398001665,,4.88,2,91.1759597303287,31.9264354104571,11.8796038736585,23.165227553634,0.33,33.0557868442964
Sparling et al. 1990,Glucose,7,39300.582847627,,3.77,2,217.099760791108,204.848919296398,3.19264354104571,4.82608907367375,0.43,15.4870940882598
Sparling et al. 1988,Glucose,8,3830.14154870941,,5.6,2,9.25124151661153,0.262589824707314,2.56530059521761,2.10071859765851,0.37,40.6328059950042
Sparling et al. 1988,Glucose,9,3080.76602830974,,6.2,2,9.25124151661153,0.20199217285178,2.60569902978796,2.14111703222887,0.38,25.0624479600333
Sparling et al. 1988,Glucose,10,7327.22731057452,,6.2,2,9.25124151661153,2.62589824707314,1.57553894824389,1.27255068896621,0.3,33.8051623646961
Sparling et al. 1988,Glucose,11,5245.62864279767,,5.8,2,9.25124151661153,0.424183562988738,1.53514051367353,2.54510137793243,0.25,43.2972522897585
Sparling et al. 1988,Glucose,12,20399.6669442132,,5,2,18.5024830332231,0.322835036566596,3.87402043879916,4.78199397914271,0.29,40.6328059950042
Sparling et al. 1988,Glucose,13,32223.1473771857,,4.1,2,18.5024830332231,0.242126277424947,4.84252554849895,5.32677810334884,0.38,111.157368859284
