Study,Treatment,Ctot,kec,DOC,kecDOC
Tessier et al. (1998),Manure,183.933511269698,0.231497223199405,0.676678478370203,0.23319194585207
Tessier et al. (1998),Manure,244.551619774297,0.275118078903812,1.17598391387052,0.273903858341816
Tessier et al. (1998),Manure,133.708930637264,0.312881701950969,0.46585209925042,0.31382396435499
Tessier et al. (1998),Manure,285.398256339124,0.312959556173263,0.836269441933267,0.315177113884598
Tessier et al. (1998),Manure,235.735488024104,0.344344323273799,0.804575124319841,0.327632564481745
Tessier et al. (1998),Manure,288.661089413338,0.357192000046136,1.04959042930113,0.321758490793809
Tessier et al. (1998),Manure,209.416741769849,0.378946199848905,0.938324505005359,0.342073841578345
Tessier et al. (1998),Manure,235.627447193832,0.388575037052843,0.373199790344168,0.338731573214663
Tessier et al. (1998),Manure,358.786790981871,0.408510043194676,0.603727178192378,0.357118164633193
Tessier et al. (1998),Manure,387.871382491088,0.381601893876044,0.608492519589351,0.382692471253803
Tessier et al. (1998),Manure,464.393101211723,0.394461681305183,1.05835354032644,0.376841443908221
Tessier et al. (1998),Manure,618.552960565803,0.363130547113338,1.01780016521662,0.384705733875105
Tessier et al. (1998),Manure,646.722806378717,0.390709107790612,1.11099617079233,0.40701130093859
Tessier et al. (1998),Manure,750.211516335238,0.403582735970381,1.36717324857593,0.393925368261345
Tessier et al. (1998),Manure,820.142744409282,0.4145160639212,1.50025100396388,0.361809192746987
Tessier et al. (1998),Manure,852.19485738997,0.392737642804828,1.62322239773142,0.3814951588963
Tessier et al. (1998),Manure,936.315447839734,0.394703894441208,1.66547082716364,0.414942535042787
Tessier et al. (1998),Manure,990.804039906902,0.387680578543376,2.27473091852163,0.39206026069803
Tessier et al. (1998),Manure,1540.58781155092,0.512321728248395,2.23558475832099,0.392711594230732
Tessier et al. (1998),Manure,1585.31671528352,0.5008062237242,2.53445801573519,0.510778006107281
Tessier et al. (1998),Manure,2317.81913908351,0.40246423031009,4.04858927584865,0.499800813755374
Tessier et al. (1998),Manure,2402.49433912867,0.397379484547379,3.10425212532227,0.390186373575722
Tessier et al. (1998),Manure,2459.95045266731,0.395485896851806,3.33810565750126,0.391524158877094
Tessier et al. (1998),Manure,2581.50358944531,0.392984181175426,3.8932199570131,0.396176776420299
Tessier et al. (1998),Manure,2559.72255806247,0.369896079030686,4.40096868196846,0.393610950304953
Tessier et al. (1998),Manure,2814.14430790895,0.392462557886056,4.37413565222308,0.381148915038561
Tessier et al. (1998),Manure,2959.74733350549,0.384203954994492,4.64265784261897,0.404785682734174
Tessier et al. (1998),Manure,2805.85397486608,0.326432661864695,4.83042508652253,0.39234779125501
Tessier et al. (1998),Manure,2991.50413488343,0.323322818207507,4.82489217335692,0.37070782450759
Tessier et al. (1998),Manure,3265.13554435227,0.401668387148863,5.27875096372234,0.394365443655808
Tessier et al. (1998),Manure,3286.47000696998,0.387576772913651,5.33484766714711,0.406830771256821
Tessier et al. (1998),Manure,3498.12919619481,0.396659765514616,7.06524227307488,0.387353319633563
Tessier et al. (1998),Manure,,,8.24845415443343,0.322568405110801
Tessier et al. (1998),Manure,,,9.49639792161394,0.325987494615661
Tessier et al. (1998),Manure,,,11.0330446202742,0.39960299931684
Tessier et al. (1998),Unfertilized,132.735297948445,0.245047414136585,0.646620567650587,0.244459733328644
Tessier et al. (1998),Unfertilized,122.102540389716,0.259928635305159,0.461558868100089,0.262684474064826
Tessier et al. (1998),Unfertilized,158.977142656573,0.287779460072073,0.713445200731611,0.265680899982855
Tessier et al. (1998),Unfertilized,165.512722185652,0.299433332447915,0.519069561716024,0.288616570903544
Tessier et al. (1998),Unfertilized,178.749758896831,0.316268671253132,0.559028539971338,0.315723322973038
Tessier et al. (1998),Unfertilized,140.780364120027,0.331135725732905,0.837242445643793,0.316957766044902
Tessier et al. (1998),Unfertilized,233.091278026937,0.329241816523672,0.496137028507621,0.331027251825507
Tessier et al. (1998),Unfertilized,201.806752666931,0.349937578027466,0.702299220904063,0.351098381771742
Tessier et al. (1998),Unfertilized,139.934388089613,0.36414499605989,0.596066502823569,0.365215346132034
Tessier et al. (1998),Unfertilized,303.987386928668,0.496268848336742,0.935724223729267,0.428906981549296
Tessier et al. (1998),Unfertilized,309.013479815244,0.433488281492106,0.961757132935678,0.496069828681458
Tessier et al. (1998),Unfertilized,397.492619937339,0.447773616312942,1.20078074861679,0.464306658870801
Tessier et al. (1998),Unfertilized,444.900453171113,0.464626663479162,1.18607317983285,0.443685129093379
Tessier et al. (1998),Unfertilized,472.668372287046,0.447812574707148,1.40462406475026,0.435481885603
