Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic,CO2cumul,ATPinit,ATP,Treatment
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0,12.9858725977274,166.527893422148,12.9858725977274,0,0.013810376782768,0.013810376782768,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.184874280998956,12.9858725977274,166.527893422148,,3.74073177577365,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.260915467320341,12.9858725977274,166.527893422148,,5.45508385675496,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.380752008348907,12.9858725977274,166.527893422148,,7.17019374614867,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.565844720044657,12.9858725977274,166.527893422148,,10.132277378168,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.945313448049899,12.9858725977274,166.527893422148,,52.0303677878641,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1,12.9858725977274,166.527893422148,26.3560289590225,77.1073848672288,0.013810376782768,0.03874822005741,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1.5,12.9858725977274,166.527893422148,29.321499740411,83.6525761252399,0.013810376782768,0.064444940442556,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2,12.9858725977274,166.527893422148,32.7028725697113,87.8652330898438,0.013810376782768,0.061244434147775,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.18021139237434,12.9858725977274,166.527893422148,,89.8942651140796,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.5,12.9858725977274,166.527893422148,26.8413290874437,91.6116484287105,0.013810376782768,0.056981330379947,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,3,12.9858725977274,166.527893422148,20.9338985566151,94.4233070908658,0.013810376782768,0.059411658341433,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,4,12.9858725977274,166.527893422148,,98.8002190288602,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,5,12.9858725977274,166.527893422148,18.1461387477458,103.801186194477,0.013810376782768,0.03099332097733,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,6,12.9858725977274,166.527893422148,,106.932261102464,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,7,12.9858725977274,166.527893422148,14.6645602788316,109.28544567511,0.013810376782768,0.023610514657686,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,8,12.9858725977274,166.527893422148,,111.638630247755,0.013810376782768,,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,9,12.9858725977274,166.527893422148,10.5365095038648,113.213735032955,0.013810376782768,0.021751746038921,HG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0,12.9858725977274,83.2639467110741,12.9858725977274,0,0.013810376782768,0.013810094252198,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.184874280998956,12.9858725977274,83.2639467110741,,4.05143322486299,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.260915467320341,12.9858725977274,83.2639467110741,,6.85702941971901,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.380752008348907,12.9858725977274,83.2639467110741,,7.48165300365042,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.565844720044657,12.9858725977274,83.2639467110741,,9.97692665362334,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.945313448049899,12.9858725977274,83.2639467110741,,30.2293564753607,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1,12.9858725977274,83.2639467110741,17.160296856399,34.9059816404644,0.013810376782768,0.040235178446308,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1.5,12.9858725977274,83.2639467110741,16.2436909005136,36.9340664041847,0.013810376782768,0.035229019279886,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2,12.9858725977274,83.2639467110741,15.0499790577348,39.9012652429878,0.013810376782768,0.035004124946319,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.18021139237434,12.9858725977274,83.2639467110741,,40.9959194947184,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.5,12.9858725977274,83.2639467110741,20.926277739363,41.9342757613888,0.013810376782768,0.030316377732071,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,3,12.9858725977274,83.2639467110741,26.8033871462307,43.5002868456403,0.013810376782768,0.032215548222318,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,4,12.9858725977274,83.2639467110741,,46.6315512057308,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,5,12.9858725977274,83.2639467110741,17.9149199094135,48.9851146825824,0.013810376782768,0.019414088104333,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,6,12.9858725977274,83.2639467110741,,50.714622931812,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,7,12.9858725977274,83.2639467110741,14.0634885861963,52.2893488128062,0.013810376782768,0.017767782474064,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,8,12.9858725977274,83.2639467110741,,53.8642641459035,0.013810376782768,,LG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,9,12.9858725977274,83.2639467110741,10.4902981652079,54.971611688542,0.013810376782768,0.018458287186674,LG
