Substrate,Moisture,MicGroup,Time,kec
Glucose,15.00%,Fungi,0.25,0.358
Glucose,15.00%,Fungi,3,0.379
Glucose,15.00%,Fungi,10,0.335
Glucose,15.00%,Fungi,30,0.296
Glucose,25.00%,Fungi,0.25,0.379
Glucose,25.00%,Fungi,3,0.396
Glucose,25.00%,Fungi,10,0.352
Glucose,25.00%,Fungi,30,0.319
Glucose,35.00%,Fungi,0.25,0.4
Glucose,35.00%,Fungi,3,0.411
Glucose,35.00%,Fungi,10,0.378
Glucose,35.00%,Fungi,30,0.35
Glucose,45.00%,Fungi,0.25,0.39
Glucose,45.00%,Fungi,3,0.389
Glucose,45.00%,Fungi,10,0.371
Glucose,45.00%,Fungi,30,0.328
Glucose,55.00%,Fungi,0.25,0.403
Glucose,55.00%,Fungi,3,0.382
Glucose,55.00%,Fungi,10,0.358
Glucose,55.00%,Fungi,30,0.316
Glucose,15.00%,Bacteria,0.25,0.402
Glucose,15.00%,Bacteria,3,0.391
Glucose,15.00%,Bacteria,10,0.358
Glucose,15.00%,Bacteria,30,0.347
Glucose,25.00%,Bacteria,0.25,0.404
Glucose,25.00%,Bacteria,3,0.415
Glucose,25.00%,Bacteria,10,0.417
Glucose,25.00%,Bacteria,30,0.357
Glucose,35.00%,Bacteria,0.25,0.422
Glucose,35.00%,Bacteria,3,0.435
Glucose,35.00%,Bacteria,10,0.391
Glucose,35.00%,Bacteria,30,0.389
Glucose,45.00%,Bacteria,0.25,0.421
Glucose,45.00%,Bacteria,3,0.421
Glucose,45.00%,Bacteria,10,0.396
Glucose,45.00%,Bacteria,30,0.37
Glucose,55.00%,Bacteria,0.25,0.435
Glucose,55.00%,Bacteria,3,0.44
Glucose,55.00%,Bacteria,10,0.4
Glucose,55.00%,Bacteria,30,0.346
